Country,Code,SolarCapacityGW,EnergyUseKWh,SolarUseTWh
Algeria,DZA,0.0741,15364.387111365351,0.057999999999999996
Australia,AUS,4.36,61967.245025535565,5.957999999999999
Austria,AUT,0.9371,43767.50350675768,0.937098
Belgium,BEL,3.131,54756.61276412455,3.053
Brazil,BRA,0.0229,17269.6967987363,0.0589174116761565
Bulgaria,BGR,1.0290000000000001,28815.132310105648,1.383
Canada,CAN,2.517,91598.97447324844,2.895
Chile,CHL,0.5760000000000001,23837.88108334165,1.26108742
China,CHN,43.5517,26013.16882503468,43.56
Czech Republic,CZE,2.075,45532.77096422567,2.2638
Denmark,DNK,0.7821,33408.030355410454,0.6042611111111109
Egypt,EGY,0.045,9478.311131724606,0.0654
Europe (other),,1.63130000000002,,0.2375925
Finland,FIN,0.015,72261.35082006597,0.0102
France,FRA,7.1375,42552.6082002842,7.2620000000000005
Germany,DEU,39.245,43955.14213873373,38.726
Greece,GRC,2.6039999999999996,24700.93247382376,3.9
Honduras,HND,0.3932,7069.465878688868,
Hungary,HUN,0.172,26917.59352485605,0.141
India,IND,3.5183000000000004,7413.294965217454,6.5663800000000005
Israel,ISR,0.7719,32127.944009640083,1.2462595596998998
Italy,ITA,18.9071,28080.448938412388,22.9422
Japan,JPN,34.15,40364.975189666526,34.540171952695
Jordan,JOR,0.0289,10798.693135418383,
Malaysia,MYS,0.2291,34512.50537109333,0.273
Mexico,MEX,0.173,17599.20458599794,0.24600000000000002
Netherlands,NLD,1.515,50305.840765684836,1.121509
Norway,NOR,0.015,65077.46328762259,0.0134
Other Africa,,0.7891,,
Other Asia & Pacific,,2.4417,,0.222921288
Other CIS,,0.0049999999999999906,,0.01044875
Other Middle East,,0.2177,,0.6374449999999999
Other S. & Cent. America,,0.8310000000000001,,
Pakistan,PAK,0.23,5634.097890263561,0.3305
Philippines,PHL,0.1653,5538.726146302671,0.138534
Portugal,PRT,0.447,23661.381881965506,0.796154916
Romania,ROU,1.3259999999999998,18511.09487533242,1.982
Russia,RUS,0.06170000000000001,57485.642268005264,0.3356
Slovakia,SVK,0.5329999999999999,34229.28993370855,0.506
South Africa,ZAF,1.3517,31351.383671316373,2.7489999999999997
South Korea,KOR,3.6132,61514.27792537044,3.9791589999999997
Spain,ESP,7.007999999999999,28663.778209501226,13.858429692216498
Sweden,SWE,0.104,57759.649763668116,0.09699999999999999
Switzerland,CHE,1.394,35587.06439120785,1.119
Taiwan,TWN,0.8422000000000001,,0.875515955
Thailand,THA,1.4246,22906.839459043786,2.378
Total Africa,,2.2599,,
Total Asia Pacific,,94.5261,,
Total CIS,,0.06670000000000001,,
Total Europe,,100.7003,,
Total Middle East,,1.1532,,
Total North America,,26.131999999999998,,
Total S. & Cent. America,,1.8231,,
Turkey,TUR,0.25,18350.13938092256,0.19412000000000001
Ukraine,UKR,0.8412000000000001,27149.155727055484,0.47700000000000004
United Arab Emirates,ARE,0.1347,90356.20000271194,0.301
United Kingdom,GBR,9.601,32294.69685989666,7.53341379738692
United States,USA,23.441999999999997,80892.74431790411,39.426262626262606
World,OWID_WRL,226.6613,22336.346087728187,260.739218773525
